run_id,model,method,budget_N,rho,seed,aligned_accuracy,bias_conflict_accuracy,pairwise_flip_rate,counterfactual_consistency,worst_group_accuracy,train_minutes,gpu_minutes,n80_pass,notes
lenet_dfr_N100_seed0,lenet,dfr,100,0.998,0,0.9861999750137329,0.8241555690765381,0.16979999840259552,0.565500020980835,0.14785991609096527,0.001761878530184428,0.001761878530184428,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed1,lenet,dfr,100,0.998,1,0.9839000105857849,0.8488222360610962,0.14203333854675293,0.6353999972343445,0.5153617262840271,0.002726323902606964,0.002726323902606964,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed2,lenet,dfr,100,0.998,2,0.9878000020980835,0.8634222149848938,0.12833333015441895,0.6348999738693237,0.3201189339160919,0.0036522996922334033,0.0036522996922334033,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed3,lenet,dfr,100,0.998,3,0.957099974155426,0.8506666421890259,0.12987777590751648,0.6439999938011169,0.37166324257850647,0.0024078324437141418,0.0024078324437141418,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed4,lenet,dfr,100,0.998,4,0.9846000075340271,0.8298110961914062,0.1612444370985031,0.5889000296592712,0.29108911752700806,0.0022757828235626222,0.0022757828235626222,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed0,lenet,dfr,1000,0.98,0,0.9930999875068665,0.9492999911308289,0.04582222178578377,0.8741000294685364,0.798638105392456,0.01679290160536766,0.01679290160536766,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed1,lenet,dfr,1000,0.98,1,0.9927999973297119,0.9580110907554626,0.03602222353219986,0.9039999842643738,0.8809034824371338,0.017973806460698447,0.017973806460698447,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed2,lenet,dfr,1000,0.98,2,0.9937999844551086,0.9624000191688538,0.032911110669374466,0.9114999771118164,0.8860369324684143,0.019205585370461145,0.019205585370461145,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed3,lenet,dfr,1000,0.98,3,0.9932000041007996,0.9549333453178406,0.03974444419145584,0.8949000239372253,0.8531827330589294,0.018881968905528387,0.018881968905528387,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed4,lenet,dfr,1000,0.98,4,0.9926000237464905,0.9551222324371338,0.03937777876853943,0.8866999745368958,0.8414396643638611,0.012522615492343903,0.012522615492343903,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed0,lenet,dfr,250,0.995,0,0.9915000200271606,0.9053333401679993,0.08990000188350677,0.7592999935150146,0.6088295578956604,0.008590953797101975,0.008590953797101975,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed1,lenet,dfr,250,0.995,1,0.9927999973297119,0.91839998960495,0.07645555585622787,0.8019999861717224,0.7515274882316589,0.008413490901390711,0.008413490901390711,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed2,lenet,dfr,250,0.995,2,0.9857000112533569,0.9235000014305115,0.0677555575966835,0.8021000027656555,0.7244796752929688,0.008698974301417669,0.008698974301417669,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed3,lenet,dfr,250,0.995,3,0.9904999732971191,0.9176111221313477,0.07557778060436249,0.7919999957084656,0.6190965175628662,0.0055745035409927365,0.0055745035409927365,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed4,lenet,dfr,250,0.995,4,0.9925000071525574,0.9061333537101746,0.08948888629674911,0.7566999793052673,0.5445736646652222,0.003934289515018463,0.003934289515018463,True,source=autodl_rtx4090_cuda12_4
