run_id,status,model,method,budget_N,seed,data_seed,train_seed,start_time,end_time,device,config_path,checkpoint_path,metrics_path,notes
lenet_dfr_N50_seed3,completed,lenet,dfr,50,3,3,3,,2026-07-12T01:42:48+02:00,cuda,outputs_final/lenet/dfr/N50/seed3/config_resolved.yaml,,outputs_final/lenet/dfr/N50/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N50_seed4,completed,lenet,dfr,50,4,4,4,,2026-07-12T01:42:54+02:00,cuda,outputs_final/lenet/dfr/N50/seed4/config_resolved.yaml,,outputs_final/lenet/dfr/N50/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed0,completed,lenet,dfr,500,0,0,0,,2026-07-12T01:44:09+02:00,cuda,outputs_final/lenet/dfr/N500/seed0/config_resolved.yaml,,outputs_final/lenet/dfr/N500/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed1,completed,lenet,dfr,500,1,1,1,,2026-07-12T01:44:16+02:00,cuda,outputs_final/lenet/dfr/N500/seed1/config_resolved.yaml,,outputs_final/lenet/dfr/N500/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed2,completed,lenet,dfr,500,2,2,2,,2026-07-12T01:44:23+02:00,cuda,outputs_final/lenet/dfr/N500/seed2/config_resolved.yaml,,outputs_final/lenet/dfr/N500/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed3,completed,lenet,dfr,500,3,3,3,,2026-07-12T01:44:31+02:00,cuda,outputs_final/lenet/dfr/N500/seed3/config_resolved.yaml,,outputs_final/lenet/dfr/N500/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed4,completed,lenet,dfr,500,4,4,4,,2026-07-12T01:44:37+02:00,cuda,outputs_final/lenet/dfr/N500/seed4/config_resolved.yaml,,outputs_final/lenet/dfr/N500/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed0,completed,lenet,dfr,5000,0,0,0,,2026-07-12T01:46:14+02:00,cuda,outputs_final/lenet/dfr/N5000/seed0/config_resolved.yaml,,outputs_final/lenet/dfr/N5000/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed1,completed,lenet,dfr,5000,1,1,1,,2026-07-12T01:46:33+02:00,cuda,outputs_final/lenet/dfr/N5000/seed1/config_resolved.yaml,,outputs_final/lenet/dfr/N5000/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed2,completed,lenet,dfr,5000,2,2,2,,2026-07-12T01:46:51+02:00,cuda,outputs_final/lenet/dfr/N5000/seed2/config_resolved.yaml,,outputs_final/lenet/dfr/N5000/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
